,pstation,p_Abetment of suicide,p_Causing hurt-Criminal intimidation-wrong restraint,p_Causing hurt-mischief-wrong restraint,p_Causing hurt-wrong restraint,p_Concealment of birth,p_Criminal breach of trust,p_Criminal breach of trust-cheating,p_Criminal intimidation,p_Disobedience to pub. Serv. Order,p_Disobedience to pub. Serv. Order-hurting public servant,p_Kidnapping,p_Negligence conduct,p_Negligence conduct-Negligent conduct,p_Negligent conduct,p_Negligent conduct-endangering safety of others,p_Negligent conduct-public nuisance,p_Others,p_Rape,p_Rash driving,p_Robbery,p_Snatching,p_Stalking,p_Theft,p_Theft by clerk,p_cheating,p_corruption,p_culpable homicide,p_domestic abuse,p_endangering safety of others,p_false property acquisuition-hurting public servant,p_grievous hurt,p_house-trespass,p_hurt by dangerous weapons,p_hurt by dangerous weapons-wrong restraint,p_mischief,p_murder,p_obstruction by a person,p_obstruction by a person-public nuisance,p_sexual harrasement,lat,lon
97,SANGAM VIHAR,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,28.498909,77.2389974
98,SARAI ROHILLA,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,5,1,1,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,28.6628569,77.18549399999999
99,SARITA VIHAR,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,28.5279579,77.289785
100,SECTOR 23 DWARKA,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,2,1,2,2,0,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28.5633432,77.05500719999999
101,SEELAMPUR,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4,4,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,28.6640177,77.2711667
102,SHAHBAD DAIRY,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,28.7420847,77.10320949999999
103,SHALIMAR BAGH,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3,3,0,1,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0,34.1480143,74.8703802
104,SONIA VIHAR,0,0,0,1,0,0,0,0,7,0,4,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,28.7332472,77.2495891
105,SOUTH AVENUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40.6007055,-74.1950511
106,SOUTH CAMPUS,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,10,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.668309,-97.289228
107,SOUTH ROHINI,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,10,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,28.7494716,77.0565333
